"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ ""СБЕРБАНК""","2,068,589","8,107,559","7,116,307","1,877,990","60,178,053"
"АТ ""УКРСИББАНК""","3,246,510","6,271,489","40,769,620","16,097,501","54,473,767"
"АТ ""ОТП БАНК""","2,672,215","7,290,014","30,846,959","18,620,405","45,278,971"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","1,787,490","4,741,005","29,395,147","18,471,605","38,111,289"
"ПАТ ""Промінвестбанк""","656,190","3,950,564","374,116","1,156,959","37,661,461"
"АТ ""СІТІБАНК""","1,436,253","2,618,636","25,569,601","3,525,955","28,899,368"
"АТ ""УКРСОЦБАНК""","381,628","1,982,167","664,017","2,558,179","27,219,741"
"АТ ""ПРОКРЕДИТ БАНК""","952,414","3,514,843","13,007,961","11,137,133","22,563,665"
"АТ ""КРЕДОБАНК""","1,092,827","2,384,409","12,982,781","9,009,946","19,071,413"
"АТ ""ІНГ Банк Україна""","756,340","4,107,944","7,889,137","4,858,168","12,810,120"
"АТ ""Ідея Банк""","1,175,403","834,404","4,043,123","4,007,282","7,510,372"
"АТ ""ПРАВЕКС БАНК""","299,123","1,956,935","3,017,425","859,598","5,206,024"
"АТ ""ПІРЕУС БАНК МКБ""","167,281","635,854","1,833,800","772,080","2,930,248"
"АТ ""БАНК ФОРВАРД""","197,399","338,382","1,546,648","1,152,626","2,785,291"
"АТ ""Дойче Банк ДБУ""","105,229","367,499","1,781,063","1,189,036","2,199,700"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","103,290","592,542","1,016,399","792,532","1,662,833"
"АТ ""КРЕДИТВЕСТ БАНК""","82,884","419,787","687,721","683,157","1,520,307"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","54,734","388,892","354,142","172,264","1,042,245"
"АТ ""БТА БАНК""","22,829","360,135","115,661","57,179","575,482"
"Усього по банках іноземних банківських груп","25,571,440","69,068,631","300,862,269","151,102,072","525,526,323"
"Банки з приватним капіталом","","","","0",""
